,comment
0,how to make a presentation like this? With which software?
1,Great!
2,"""It's just a function."" Yeah, so are our neurons. But put enough ""dumb functions"" together and you get Justin Bieber. The end is neigh."
3,the Chinese subscript is just chaos
4,"Incomplete Lion picture 🤔 since the eye detects color in different color gradients, why don’t they apply the same way it read the lion image but in different “color” gradient screen and come back with the complete picture"
5,@3blue1brown please make videos on CNNs and LSTMs
6,One of the neatest dives into the broad field of machine learning ever on Youtube....long live 3b1b
7,"It is very excellent video, thank you. but I found at 14:59 this video, the bias vector's dimension should be 0-k, not 0-n. Because W*a is kx1 matrix"
8,"Please do an animation of Spiking Neural network (SNNs), on neuromorphic hardware."
9,this cracks me up. . . i was like wow fing amazing sigmoid ! then the end? woah me grasshopper anyway the key is analog to digital and digital to analog
10,0:50
11,"I just found out about this channel today, watched 3 or 4 videos, loved them all, subscribed.
Thank you very much for this content!"
12,Your green and red isn’t nice for colourblind people
13,The end line is pure genius
14,"Fourth year stats PhD student here, appreciating the heck out of this video."
15,"3Blue1Brown, you are a literal genius."
16,Can you do another video on transformer neural nets?
17,most educational and effective way of teaching
18,Every video you make amazes me with its simplicity in explaining such complicated ideas. Thank you
19,"Literally just did an assignment in my computer vision class to detect what number is shown in a 28x28 binary image of a number like that. So when he asked if we could solve that, in this single occasion, I could bust out the code to do this problem lmao"
20,"Hello ! I noticed actually at 15:08 that the last bias index on the bias vector actually the k-bias is and not the n-bias is, because the n actually designates the number of neurons of the first layer, and k the number of neurons of the second layer, so that they would be k bias. Or do this matrix and vector actually represent a specific case when the number of neurones in the first and in the second layer actually the same is ? Else, it's a really good video, helps me to more understand computational pathology :)"
21,"How is this info free
I would mow your lawn for this"
22,This is simply the best explanation of a neural network I've ever seen. Thanks a lot 😊
23,Does sigmoid have an influence in the performance of a neural network?
24,Next video ??
25,"My English is not good enough, I feel a little strenuous, it’s a pity that there are such good video here"
26,Türkiyeye selamlar :)
27,Ngl the best video I found after searching for a long time
28,Huge fan! Ty for such great educational content.
29,great
30,Indonesia languag?
31,Thank you
32,Bias time
33,Shouldn't the b vector at 15:00 contain b0 through bk instead of bn?
34,"Someday, I'm going to understand what the hell this is. Learning JavaScript now and pushing myself out of my comfort zone."
35,"I love the graphics in this channel! The level of detail, like the little numbers representing the grayscale of each pixel on the matrix, just blow me away!
Thanks for such informative and inspiring work!"
36,Thanks!
37,Thank you so much for this 😊
38,It took me one week to understand this when I was reading a university lecture. You explained it to me in 20 mins. You are such a savior. Thanks 3Blue1Brown!
39,Life is an optimization problem complicated by local maxima
40,Thanks!
41,0:38 meanwhile my math teacher when a 0 looks slightly like a 6
42,"Wow, very explicitly explained and best of all possible"
43,"(1) Doesn't the matrix @14:53 should be 1 row matrix only [w(0,1)-w(0,784)]? (2) @11:27 Neither you plain clearly why and how the weights tell you what pixel pattern this neuron in the second layer is picking on, (3) nor how the function makes the computer to read the pixel pattern. Since there is a mistake in this video plus this is not clear so I don’t recommend others to look at more."
44,How could Relu activation function give a neuron value of 1?
45,Why people can’t still understand  my hand writing tho
46,I WROTE CODE THAT HELPS TELL NATURAL BOOBS FROM FAKE BOOBS WHILE THEY ARE IN THE BRA AND BEHIND CLOTHING. I CALL IT THE HOOTERS ALGORITHM
47,woooo
48,In few months or no time people will definitely be kicking themselves in regret for missing the opportunity to buy or invest in cryptocurrency. Can my fellow investor's say HELLO.
49,"I recommended a professional broker to you guys sometime ago,can i get person who invested with her
Comment below"
50,i would go to class if you taught me 😣
51,It's just great.
52,I am watching this while my ANN is  training :)
53,Woooah 😳
54,Merci !
55,"This is exactly what I needed, A deep, general and conceptual video of the Neural Networks"
56,yes
57,"I think the bias column vector (b) shown at timestamp 14;38 should have a dimension of  ""k"" long not ""n"" long."
58,Awesome video. Thank you
59,"I'm really grateful
 for you 🤗"
60,amazing👍
61,퍼셉트론은 여러개의 입력단자와 하나의 출련단자로 구성되어있는데...
62,Hot damn
63,this is just great.
64,"Huh, I get it. These are complexly simple. Reducing every aspect of our soft world to simple numbers. Literally."
65,shouldn't the bias vector be of size kx1 ?? why are there 'n' number of biases?
66,The gentle format of your videos makes you the David Attenborough of math
67,Beautifully explained even though it would have been a little harder to understand from the book and more time consuming. I think after watching this video and then going back to the book would be much easier to go in a flow.
68,"After thousands of years of clicking ""not interested"" on cat/music videos, the Algorithm has finally -punished- rewarded my self-improvement phase with an educational video"
